SHEETS ['Point System', 'Spot the Fraud', 'Fraud Detective', 'Lifeline Gate (LQ)', 'Change Log']

=== Point System rows=58 cols=9 ===
Bureau Fraud Arena - Leaderboard & Point System |  |  |  |  |  |  |  | 
Three independent games. Each has its own board (Today / All Days) plus a Combined view summing a player's best run in each. |  |  |  |  |  |  |  | 
Game | Maximum Points | Leaderboard Key | Notes |  |  |  |  | 
Spot the Fraud | 100.0 | spot_the_fraud | 10 levels. Every correct answer banks points; a wrong answer or timeout ends the run and banks what you have. |  |  |  |  | 
Spoof the System | 100.0 | spoof_the_system | Three detector levels. Bank and walk away, or risk continuing. |  |  |  |  | 
Fraud Detective | 100.0 | fraud_detective | Five cases at 15 pts, plus 10 and 15 pt bonuses at the 3rd and 5th clear. |  |  |  |  | 
Combined (All) | 300.0 | combined | Sum of each player's best run across all three games. |  |  |  |  | 
CHECK: three games sum to | 300 |  | Must equal the Combined maximum of 300. |  |  |  |  | 
1. Spot the Fraud - level ladder (v5: uniform 4-option format, max 2 correct answers anywhere - original doc's points now apply unchanged) |  |  |  |  |  |  |  | 
Level | Format | Options | Select | Timer | Points | Near-Miss | Marker | Cumulative
1.0 | MCQ - single answer | 4.0 | 1.0 | 20s | 4.0 | - | - | 4
2.0 | MCQ - single answer | 4.0 | 1.0 | 20s | 5.0 | - | - | 9
3.0 | Spot the Fake (4 images) | 4.0 | 1.0 | 25s | 6.0 | - | - | 15
4.0 | MCQ - single answer | 4.0 | 1.0 | 25s | 7.0 | - | - | 22
5.0 | MCQ - multi (select 2) | 4.0 | 2.0 | 35s | 8.0 | 4.0 | LEVEL UP | 30
6.0 | MCQ - multi (select 2) | 4.0 | 2.0 | 35s | 10.0 | 5.0 | - | 40
7.0 | Spot the Fake grid (4 images, select 2) | 4.0 | 2.0 | 35s | 12.0 | 6.0 | - | 52
8.0 | MCQ - multi (select 2) | 4.0 | 2.0 | 40s | 14.0 | 7.0 | LEVEL UP | 66
9.0 | Spot the Fake grid (4 images, select 2) | 4.0 | 2.0 | 40s | 16.0 | 8.0 | - | 82
10.0 | MCQ - multi (select 2) | 4.0 | 2.0 | 40s | 18.0 | 9.0 | - | 100
TOTAL |  |  |  |  | 100 | 39 |  | 
Scoring rules |  |  |  |  |  |  |  | 
· Correct answer - full points for that level. |  |  |  |  |  |  |  | 
· Wrong answer - run ends immediately, 0 pts for that level. Everything banked so far is recorded. |  |  |  |  |  |  |  | 
· Timeout - run ends immediately. Everything banked so far is recorded. |  |  |  |  |  |  |  | 
· Near miss (multi-select only) - exactly one wrong pick. Half the level's points, and the run ends. |  |  |  |  |  |  |  | 
· Skip - banks 0 pts for that level and moves on. |  |  |  |  |  |  |  | 
2. Spoof the System |  |  |  |  |  |  |  | 
Level | Outcome | Points This Level | Running Total | Tier | Prize Draw |  |  | 
1.0 | Beat Level 1 | 17.0 | 17.0 | Achiever | - |  |  | 
2.0 | Beat Level 2 | 33.0 | 50.0 | Achiever | TBD |  |  | 
3.0 | Beat Level 3 | 50.0 | 100.0 | Achiever | TBD |  |  | 
- | Caught with nothing banked | 0.0 | 0.0 | - | - |  |  | 
Beating all three levels banks 17 + 33 + 50 = 100. Getting caught ends the run; anything already banked is kept. |  |  |  |  |  |  |  | 
3. Fraud Detective |  |  |  |  |  |  |  | 
Component | Detail | Points |  |  |  |  |  | 
Main cases | 5 graph cases per run | 15 pts each |  |  |  |  |  | 
Case total | All 5 correct | 75 pts |  |  |  |  |  | 
Bonus | 3rd case cleared | 10 pts |  |  |  |  |  | 
Bonus | 5th case cleared | 15 pts |  |  |  |  |  | 
Maximum | Cases + bonus | 100 pts |  |  |  |  |  | 
One wrong accusation ends that case. Points from earlier cases carry forward. |  |  |  |  |  |  |  | 
4. Leaderboard |  |  |  |  |  |  |  | 
· Refreshes automatically every 10 seconds. |  |  |  |  |  |  |  | 
· Scope: Today (current booth day) or All Days (whole event). |  |  |  |  |  |  |  | 
· Game filter: All (combined), Spot, Spoof, Detect. |  |  |  |  |  |  |  | 
· Top 10 shown; a player's own row pins to the bottom if they are outside it. |  |  |  |  |  |  |  | 
· Rank 1 highlighted in violet; the top 3 scores shown in violet numerals. |  |  |  |  |  |  |  | 

=== Spot the Fraud rows=153 cols=22 ===
Spot the Fraud - 149 questions, uniform 4-option format, max 2 correct answers |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Every level uses 4 options (or 4 images); no level ever requires more than 2 correct picks. Correct options are shaded green; image levels show numbered tiles only, tell is a production note never shown in game. Reading time up to 30% over the timer is acceptable. About a third of each level is grounded in real, recent fraud news (News column); each level also has one well-known international fraud case (Intl column). No bank names are used anywhere. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Question ID | Level | Kind | Format | Timer (s) | Points | Near-Miss | Select N | Marker | News | Intl | Question | Opt 1 | Opt 2 | Opt 3 | Opt 4 | Correct Option(s) | Chars (Q+opts) | Read secs | Fits timer (+30% ok) | Visual tell (production note, not shown) | Product hook
SF-L01-01 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | SMS: 'Power cut tonight. Call this number now.' What is it? | Genuine utility notice | Scam using fake urgency | Wrong number | Promotional message | 2 | 135.0 | 9.0 | YES | - | Bureau helps platforms flag impersonation and coercion patterns before money moves.
SF-L01-02 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | A buyer sends a payment screenshot, but your account shows no credit. Should you ship? | Yes, that counts as proof | No, wait until it actually arrives | Ship it, then ask them to resend proof | Ask them to resend it correctly | 2 | 214.0 | 14.3 | YES | - | Bureau flags phishing infrastructure and suspicious payout links in real time.
SF-L01-03 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | 'KYC expired. Click in 24 hrs or account frozen.' Safest move? | Click and complete it | Ask them who they are | Ignore it, call your bank | Forward it to family | 3 | 149.0 | 9.9 | YES | - | Bureau's document and face-liveness checks catch mismatches like this before onboarding completes.
SF-L01-04 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | WhatsApp: 'Your PAN is linked to crime. Tap to verify.' What is this? | A genuine tax notice | Scam using fear of arrest | A bank reminder | Only targets companies | 2 | 151.0 | 10.1 | YES | - | Bureau helps platforms flag impersonation and coercion patterns before money moves.
SF-L01-05 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | 'TRAI here. Share your OTP or your SIM will be blocked.' What should you do? | Share it, they can block SIMs | Hang up. Never share an OTP | Call the number back | Write to TRAI first | 2 | 171.0 | 11.4 | YES | - | Bureau flags phishing infrastructure and suspicious payout links in real time.
SF-L01-06 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | UPI request: 'Accept ₹1 to receive ₹50,000.' What happens? | You receive ₹50,000 | ₹1 leaves your account | It is a typo | It is a referral bonus | 2 | 133.0 | 8.9 | YES | - | Bureau flags phishing infrastructure and suspicious payout links in real time.
SF-L01-07 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | A seller asks for a 'refund OTP'. Is that a real thing? | Yes, it releases refunds | No. OTPs only send money out | Only UPI OTPs are risky | Safe if shared quickly | 2 | 152.0 | 10.1 | YES | - | Bureau flags phishing infrastructure and suspicious payout links in real time.
SF-L01-08 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | 'You won ₹2 lakh! Pay ₹5,000 GST to claim.' What is this? | Genuine prize, GST is legal | Lottery scam, fee upfront | A real game show promo | Sent to the wrong number | 2 | 155.0 | 10.3 | YES | - | Bureau helps platforms flag impersonation and coercion patterns before money moves.
SF-L01-09 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | Friend's Instagram: 'Stuck abroad, send ₹15,000.' Do what? | Send it, they need help | Call them first to check | Reply asking for details | Report it without checking | 2 | 155.0 | 10.3 | YES | - | Bureau helps platforms flag impersonation and coercion patterns before money moves.
SF-L01-10 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | A delivery rider asks for the OTP on your phone. Normal? | Yes, all couriers do this | No. That OTP is yours | Only for cash on delivery | Yes, if he shows a badge | 2 | 151.0 | 10.1 | YES | - | Bureau flags phishing infrastructure and suspicious payout links in real time.
SF-L01-11 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | - | - | An OLX buyer insists on paying via 'Army Pay'. Ship the item? | Yes, army buyers are checked | No. Army Pay is not real | Ask for an ID first | Ship cash on delivery | 2 | 153.0 | 10.2 | YES | - | Bureau flags phishing infrastructure and suspicious payout links in real time.
SF-L01-12 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | YES | - | A video caller in a police uniform says you are under 'digital arrest' and must pay right now. What should you do? | Pay to avoid arrest | Stay on the call and follow instructions | Hang up. Digital arrest is not a real legal process | Ask them to email a warrant | 3 | 251.0 | 16.7 | YES | - | Bureau helps platforms flag impersonation and coercion patterns before money moves.
SF-L01-13 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | YES | - | SMS: 'Your parcel is held by Customs. Pay ₹500 online to release it.' You ordered nothing. What is this? | A genuine customs fee | A phishing scam | A delivery reschedule fee | A GST notice | 2 | 177.0 | 11.8 | YES | - | Bureau flags phishing infrastructure and suspicious payout links in real time.
SF-L01-14 | 1.0 | Text | MCQ - single answer | 20.0 | 4.0 | - | 1.0 | - | YES | - | A 'work from home' job asks you to receive money in your account and forward it elsewhere, calling it a test. What should you do? | Do it. It is just a test | Forward it, then ask questions | Refuse. You would be laundering money | Ask for a written contract first | 3 | 252.0 | 16.8 | YES | - | Bureau screens onboarding accounts for mule-like patterns before they are ever used.
